,Profile,Company,Location,Start Date,Duration,Stipend,Apply By
70,Marketing/Sales Work,Terence Lewis Professional Training Institute,Work From Home,Immediately,6 Months,8000/month,27 Jul' 20
71,Content Writing,Times Network,Work From Home,Immediately,2 Months,5000/month,25 Jul' 20
72,Web Development,Sudarshan TV Channel Private Limited,Noida,Immediately,3 Months,8000-12000/month,25 Jul' 20
73,Ruby On Rails Development,IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,24 Jul' 20
74,Front End Development On AngularJS,IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,24 Jul' 20
75,Android App Development,IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,24 Jul' 20
76,Software Project Management,IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,24 Jul' 20
77,Business Development (Sales),UrbanClap,Work From Home,Immediately,2 Months,6000-8000/month,3 Aug' 20
78,Category Management,UrbanClap,Ahmedabad,Immediately,2 Months,8000/month,23 Jul' 20
79,Social Media Marketing,Times Network,Work From Home,Immediately,6 Months,5000/month,23 Jul' 20
80,Customer Relationship (eCommerce - Fashion),House Of Anita Dongre,Work From Home,Immediately,2 Months,8000/month,23 Jul' 20
81,Business Development (Sales),UrbanClap,Ludhiana,Immediately,5 Months,8000-15000/month,22 Jul' 20
82,Marketing,Zoomcar India Private Limited,"Chennai, Coimbatore",Immediately,2 Months,5000-10000/month,22 Jul' 20
83,Business Development (Sales),UrbanClap Technologies India Private Limited,Work From Home,Immediately,2 Months,8000/month,21 Jul' 20
84,Business Strategy,Urban Company,Work From Home,Immediately,2 Months,5000/month,21 Jul' 20
85,Test Center Administration,Pearson India Education Services Private Limited,"Pune, Noida",Immediately,5 Months,1500-2000/week,21 Jul' 20
86,Video Editing- Hindi,The Better India,Work From Home,Immediately,3 Months,7000/month,20 Jul' 20
87,Business Development (Sales),MobiKwik,Dhanbad,Immediately,2 Months,5000/month+Incentives,20 Jul' 20
88,Web Development,IDC IIT Bombay,"Bhubaneswar, Chennai, Delhi, Kolkata, Pune, Bangalore, Mumbai, Kochi, Hyderabad, Noida",Immediately,6 Months,20000-25000/month,20 Jul' 20
89,Business Development (Sales),UrbanClap Technologies India Private Limited,Kolkata,Immediately,2 Months,8000/month,20 Jul' 20
90,Mobile App Development,Religare Health Insurance Company Limited,Work From Home,Immediately,3 Months,1000-2000/month,20 Jul' 20
91,Business Development (Sales),UrbanClap Technologies India Private Limited,"Pune, Mumbai",Immediately,6 Months,6000-12000/month,20 Jul' 20
92,Human Resources (HR),Purplle.com,Mumbai,Immediately,3 Months,15000/month,20 Jul' 20
93,Business Development (Sales),PhonePe Private Limited,"Ahmedabad, Delhi, Indore, Pune, Surat, Bhopal, Mumbai, Baroda",Immediately,2 Months,20000/month,20 Jul' 20
94,Business Development (Sales),UrbanClap,Work From Home,Immediately,1 Month,8000/month,19 Jul' 20
95,Power BI Dashboard Management,Hindustan Unilever Limited,Work From Home,Immediately,2 Months,25000/month,19 Jul' 20
96,Human Resources (HR),Purplle.com,Mumbai,Immediately,3 Months,15000/month,19 Jul' 20
97,Business Development (Sales),UrbanClap Technologies India Private Limited,"Kolkata, Hyderabad",Immediately,6 Months,6000-12000/month,18 Jul' 20
98,Human Resources (HR),Policybazaar,Gurgaon,Immediately,3 Months,10000/month,17 Jul' 20
99,Operations,CoCubes Technologies Private Limited,Work From Home,Immediately,3 Months,20000/month,17 Jul' 20
100,Business Development (Sales),PhonePe Private Limited,"Chennai, Bangalore, Hyderabad, Chandigarh, Bhubaneswar, Ludhiana, Lucknow, Visakhapatnam, Kochi",Immediately,2 Months,20000/month,17 Jul' 20
101,Content Writing,Urban Ladder,Work From Home,Immediately,2 Months,20000/month,16 Jul' 20
102,Content Writing,Urban Ladder,Work From Home,Immediately,2 Months,15000/month,16 Jul' 20
103,Content Writing,Sportskeeda,Work From Home,Immediately,3 Months,10000/month,16 Jul' 20
104,Visual Design,Urban Ladder,Work From Home,Immediately,2 Months,20000/month,16 Jul' 20
105,Digital Marketing,Career Launcher,Work From Home,Immediately,2 Months,3000/month+Incentives,16 Jul' 20
